ExAC_zScore_pLI	ExAC_zScore_indel	min_D_Frequency	gene_count	morbidGene_count
0	-10.0	0.00100227	4	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
0	-0.19102948433003	-1.0	1	0
25	2.28069632946138	-1.0	193	18
6	1.101797233326	-1.0	85	10
0	0.331001753343709	0.0	117	0
0	0.8154103838095179	0.00097013	4	0
23	1.87352776570283	-1.0	208	21
0	-10.0	0.0025787	2	0
1	-10.0	-1.0	1	0
0	-10.0	0.00116389	1	1
0	-2.53125239294469	0.00844718	1	1
0	-10.0	-1.0	7	0
0	-10.0	0.0	0	0
31	2.1171671566195904	-1.0	267	26
0	-1.20830830104818	0.0	80	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	2	0
4	1.1558345997413502	-1.0	23	7
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
0	1.28741431933482	-1.0	2	1
1	0.5910330061015071	-1.0	2	0
0	-1.20830830104818	0.0	81	0
0	-0.655649766777518	-1.0	14	1
0	0.331001753343709	0.0	114	0
26	0.88179666751534	-1.0	294	22
0	-10.0	0.00115085	4	0
0	-10.0	0.0	0	0
4	-2.20556738605708	-1.0	44	2
0	-10.0	-1.0	1	0
0	-2.53125239294469	-1.0	2	0
17	1.39890371617901	-1.0	118	13
12	1.19534703454519	-1.0	122	13
1	-0.531851189936425	-1.0	5	0
0	0.16385272905346698	-1.0	1	0
0	-10.0	0.0	0	0
1	-0.0326806074539616	-1.0	9	1
3	-0.276553449993883	0.00010212	49	7
0	0.9235664356175493	0.00032349	2	2
0	-10.0	0.01033747	1	0
9	0.907478088332837	-1.0	43	9
0	-10.0	-1.0	2	0
0	1.071537589513	0.00035411	1	0
0	-10.0	0.00195719	5	1
1	-10.0	0.00565414	2	1
0	-10.0	-1.0	32	0
0	-0.34152640937843204	-1.0	1	0
1	-0.254590831845674	-1.0	1	1
1	-10.0	-1.0	2	2
0	0.616609414384369	-1.0	3	1
1	0.980975543614946	-1.0	7	0
31	1.4501009091798898	-1.0	320	47
0	-10.0	-1.0	2	0
0	-10.0	0.0	0	0
32	2.06191737480244	-1.0	329	45
0	-0.571784532313866	-1.0	6	0
0	-1.01360462311989	-1.0	1	0
0	-10.0	-1.0	1	0
0	0.4640409985827079	-1.0	3	1
0	0.198584150233992	-1.0	2	0
0	-2.18120181562613	0.00050872	4	4
0	-10.0	0.0	0	0
30	1.85575794331124	-1.0	288	27
6	-0.205866516036128	-1.0	88	10
0	-1.2147674029069	0.00032979	2	0
1	0.42013524715189504	-1.0	6	0
0	-10.0	0.0	2	0
0	-2.53125239294469	-1.0	6	0
0	-10.0	0.10534376	7	0
0	-10.0	-1.0	12	0
1	-2.53125239294469	-1.0	1	0
1	1.10389601923508	-1.0	1	1
0	-0.23099626893382505	-1.0	2	1
17	1.76591206090348	-1.0	172	11
0	0.249588158452674	-1.0	7	0
1	-0.29571091092468205	-1.0	3	1
0	-10.0	0.0	0	0
0	-10.0	-1.0	1	1
0	0.40097387713134497	-1.0	6	1
0	-10.0	0.00070624	1	0
0	-10.0	0.0	0	0
0	-1.20830830104818	0.0	82	0
0	-0.8239365531853481	-1.0	3	0
0	-2.53125239294469	0.0010597000000000002	2	0
0	-10.0	0.00814617	28	0
1	-2.2624132487968502	-1.0	2	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	8	1
0	0.8154103838095179	0.00097013	7	0
1	0.0706292694236567	-1.0	6	1
0	-10.0	-1.0	1	1
21	1.61561745402104	-1.0	202	32
1	1.4117752478481	-1.0	1	1
